Game Name,Description,Region,Unique to Region,Why Unique,Hyper-Localized Success,Success Metrics,
Revenge of Sultans,A strategy game set in a historical Arabian context.,Predominantly popular in Saudi Arabia and UAE.,Incorporates Middle Eastern culture and history.,Utilizes themes and narratives that resonate with local players.,High engagement due to cultural relevance.,High downloads significant in-app purchases and active daily users.,
Arabian Nights,An adventure game inspired by the classic tales of the Arabian Nights.,Popular in Gulf countries.,Features characters and stories from regional folklore.,Appeals to cultural nostalgia and local storytelling traditions.,Strong player retention and word-of-mouth popularity.,High retention rates and positive user reviews.,
Quran Quiz,An educational game that quizzes players on their knowledge of the Quran.,Widely used across the MENA region.,Focuses on religious education, important to the region.,Combines gaming with educational content relevant to local religious practices.,High engagement during religious periods such as Ramadan. Consistent daily active users and high engagement during peak periods.,
Player Mini Games,Collection of mini-games designed for multiplayer play,MENA,No,Offers a variety of games that cater to diverse interests,High engagement and multiplayer features,High engagement and multiplayer features,
8 Ball Pool,Simulation of 8-ball pool with online multiplayer features,MENA,No,Popular global game with localized content for the MENA region,High engagement and multiplayer features,High engagement and multiplayer features,
A Dance of Fire and Ice,Rhythm game with challenging levels and precise controls,MENA,No,Engages players with culturally relevant music tracks,High engagement and multiplayer features,High engagement and multiplayer features,
Age of Origins,Strategy game with city building and zombie battles,MENA,No,Features local historical and cultural elements in gameplay,High engagement and multiplayer features,High engagement and multiplayer features,
Agent Hunt - Hitman Shooter,Shooter game where players take on missions as a hitman featuring stealth and action mechanics,MENA,No,Incorporates local settings and characters in missions,High engagement and multiplayer features,High engagement and multiplayer features,
Animal Hunter: Wild Shooting,Hunting simulation game with various animals and environments,MENA,No,Includes local wildlife and hunting scenarios,High engagement and multiplayer features,High engagement and multiplayer features,
Block Blast!,Block puzzle game with colorful graphics and addictive gameplay,MENA,No,Features culturally inspired visual themes,High engagement and multiplayer features,High engagement and multiplayer features,
Bloons TD 6,Tower defense game with various levels and monkey towers,MENA,No,Includes levels and challenges inspired by regional landmarks,High engagement and multiplayer features,High engagement and multiplayer features,
Braindom: Brain Games Test,Collection of brain games and puzzles to test cognitive skills,MENA,No,Adapted with culturally relevant questions and puzzles,High engagement and multiplayer features,High engagement and multiplayer features,
Brawl Stars,Multiplayer online battle game with various characters and modes,MENA,No,Incorporates regional heroes and themes,High engagement and multiplayer features,High engagement and multiplayer features,
Bricks Breaker Quest,Brick-breaking puzzle game with various levels and power-ups,MENA,No,Localized themes and culturally inspired designs,High engagement and multiplayer features,High engagement and multiplayer features,
Bubble Shooter,Classic bubble-shooting puzzle game with various levels,MENA,No,Includes culturally themed backgrounds and levels,High engagement and multiplayer features,High engagement and multiplayer features,
Build A Queen,Puzzle game involving building and upgrading structures,MENA,No,Features regional architectural styles and themes,High engagement and multiplayer features,High engagement and multiplayer features,
Call of Dragons,Strategy game with dragon battles and kingdom building,MENA,No,Incorporates regional mythology and folklore,High engagement and multiplayer features,High engagement and multiplayer features,
Call of Duty: Mobile Season 5,Mobile version of the popular first-person shooter game with various modes,MENA,No,Localized content and events for regional players,High engagement and multiplayer features,High engagement and multiplayer features,
Candy Crush Saga,Popular match-3 puzzle game with various levels and challenges,MENA,No,Localized levels with culturally relevant themes,High engagement and multiplayer features,High engagement and multiplayer features,
Car Race 3D: Car Racing,3D car racing game with various cars and tracks,MENA,No,Includes regional car models and tracks,High engagement and multiplayer features,High engagement and multiplayer features,
Carrom Pool: Disc Game,Digital version of the traditional carrom board game,MENA,No,Features local carrom board designs and rules,High engagement and multiplayer features,High engagement and multiplayer features,
Clash of Clans,Strategy game with base building resource management and clan wars,MENA,No,Localized content and events for regional players,High engagement and multiplayer features,High engagement and multiplayer features,
Clash Royale,Real-time strategy game with card collection and battles,MENA,No,Includes regional heroes and cards,High engagement and multiplayer features,High engagement and multiplayer features,
Dead Cells,Roguelike action platformer with procedural generation,MENA,No,Incorporates regional myths and legends in storylines,High engagement and multiplayer features,High engagement and multiplayer features,
Dice Dreams,Board game with dice rolling and adventure elements,MENA,No,Features regional themes and cultural elements,High engagement and multiplayer features,High engagement and multiplayer features,
Don't Starve: Pocket Edition,Survival game with crafting exploration and resource management,MENA,No,Includes local flora and fauna in survival scenarios,High engagement and multiplayer features,High engagement and multiplayer features,
Doomsday: Last Survivors,Survival strategy game set in a post-apocalyptic world,MENA,No,Incorporates regional settings and survival challenges,High engagement and multiplayer features,High engagement and multiplayer features,
